gene	ensembl_id	chrom	start_hg38	end_hg38	start_hg19	end_hg19	strand	biotype	length_hg38	sources	n_sources	in_network	status	notes
DZANK1	ENSG00000089091	20	18383361	18467332	18364011	18447925	-1	protein_coding	83971	baxter	1		ok	
EBNA1BP2	ENSG00000117395	1	43162085	43270936	43629846	43736607	-1	protein_coding	108851	baxter	1		ok	
ECE1	ENSG00000117298	1	21217247	21345912	21543740	21671997	-1	protein_coding	128665	baxter	1		ok	
ECE2	ENSG00000145194	3	184275531	184293031	183967438	184010819	1	protein_coding	17500	baxter	1		ok	
ECSIT	ENSG00000130159	19	11505916	11540137	11616731	11639989	-1	protein_coding	34221	network	1	yes	ok	
EDA	ENSG00000158813	X	69616067	70039472	68835911	69259319	1	protein_coding	423405	baxter	1		ok	
EDAR	ENSG00000135960	2	108894471	108989372	109510927	109605828	-1	protein_coding	94901	baxter	1		ok	
EDARADD	ENSG00000186197	1	236348257	236502915	236511562	236648214	1	protein_coding	154658	baxter	1		ok	
EDN1	ENSG00000078401	6	12287459	12297194	12290596	12297427	1	protein_coding	9735	baxter;network	2	yes	ok	
EDN3	ENSG00000124205	20	59300213	59325992	57875482	57901047	1	protein_coding	25779	baxter;darcy	2		ok	
EDNRB	ENSG00000136160	13	77895481	77975529	78469616	78493903	-1	protein_coding	80048	baxter;darcy;network	3	yes	ok	
EED	ENSG00000074266	11	86201212	86279811	85955586	85989855	1	protein_coding	78599	baxter	1		ok	
EGFR	ENSG00000146648	7	55018820	55211628	55086714	55324313	1	protein_coding	192808	baxter;network	2	yes	ok	
EGR2	ENSG00000122877	10	62811996	62819167	64571756	64679660	-1	protein_coding	7171	darcy	1		ok	
EIF2S2	ENSG00000125977	20	34088309	34112284	32676104	32700138	-1	protein_coding	23975	darcy	1		ok	
EIF3B	ENSG00000106263	7	2354080	2380747	2393721	2420380	1	protein_coding	26667	baxter	1		ok	
EIF3C	ENSG00000184110	16	28688558	28745938	28699879	28747051	1	protein_coding	57380	baxter	1		ok	
EIF3E	ENSG00000104408	8	108162787	108443496	109213445	109447562	-1	protein_coding	280709	baxter	1		ok	
EIF3G	ENSG00000130811	19	10115010	10119951	10225693	10230596	-1	protein_coding	4941	baxter	1		ok	
EIF3H	ENSG00000147677	8	116642130	116766925	117654369	117779164	-1	protein_coding	124795	baxter	1		ok	
EIF3I	ENSG00000084623	1	32221077	32245397	32687529	32697205	1	protein_coding	24320	baxter	1		ok	
EIF6	ENSG00000242372	20	35278891	35285009	33866714	33872788	-1	protein_coding	6118	darcy	1		ok	
ELK1	ENSG00000126767	X	47631617	47650604	47494920	47510003	-1	protein_coding	18987	network	1	yes	ok	
EN1	ENSG00000163064	2	118842171	118847648	119599747	119605254	-1	protein_coding	5477	baxter	1		ok	
ENPP1	ENSG00000197594	6	131807993	131895160	132129156	132216295	1	protein_coding	87167	baxter;darcy	2		ok	
EP300	ENSG00000100393	22	41091816	41180077	41487790	41576081	1	protein_coding	88261	bajpai;network	2	yes	ok	
EPG5	ENSG00000152223	18	45800477	45967346	43427574	43547240	-1	protein_coding	166869	baxter;darcy	2		ok	
ERBB3	ENSG00000065361	12	56076799	56103505	56473641	56497289	1	protein_coding	26706	baxter	1		ok	
ERCC1	ENSG00000012061	19	45407333	45479055	45910591	45982086	-1	protein_coding	71722	darcy	1		ok	
ERCC2	ENSG00000104884	19	45349773	45370918	45853095	45874176	-1	protein_coding	21145	baxter;darcy	2		ok	
ERCC3	ENSG00000163161	2	127257285	127294188	128014866	128051752	-1	protein_coding	36903	baxter;darcy	2		ok	
ERCC4	ENSG00000175595	16	13920138	13952348	14014014	14046202	1	protein_coding	32210	baxter;darcy	2		ok	
ERCC5	ENSG00000134899	13	102845831	102875995	103497194	103528345	1	protein_coding	30164	baxter;darcy	2		ok	
ERCC6	ENSG00000225830	10	49454168	49539538	50663414	50747584	-1	protein_coding	85370	baxter;darcy	2		ok	
ESCO2	ENSG00000171320	8	27771949	27812640	27629466	27670157	1	protein_coding	40691	baxter;darcy	2		ok	
ETS1	ENSG00000134954	11	128458761	128587611	128328656	128457453	-1	protein_coding	128850	baxter	1		ok	
EXOC5	ENSG00000070367	14	57200507	57268974	57670518	57735726	-1	protein_coding	68467	baxter	1		ok	
EZR	ENSG00000092820	6	158765738	158819418	159186773	159240444	-1	protein_coding	53680	network	1	yes	ok	
F10	ENSG00000126218	13	113122771	113149531	113777128	113803843	1	protein_coding	26760	network	1	yes	ok	
F2RL1	ENSG00000164251	5	76818933	76836611	76114758	76131140	1	protein_coding	17678	network	1	yes	ok	
F7	ENSG00000057593	13	113105762	113120685	113760105	113774995	1	protein_coding	14923	network	1	yes	ok	
F8A1	ENSG00000288722	X	154886355	154888061	154114635	154116335	1	protein_coding	1706	bajpai	1		ok	
F8A3	ENSG00000277150	X	155456914	155458620	154686576	154688276	-1	protein_coding	1706	bajpai	1		ok	
FADD	ENSG00000168040	11	70203262	70220615	70049269	70053496	1	protein_coding	17353	network	1	yes	ok	
FADS2	ENSG00000134824	11	61792980	61867354	61560452	61634826	1	protein_coding	74374	darcy	1		ok	
FAM57B	ENSG00000149926	16			30035748	30064299	-1	protein_coding		baxter	1		hg19_only	not on a primary assembly / symbol unresolved
FANCA	ENSG00000187741	16	89726683	89816977	89803957	89883065	-1	protein_coding	90294	baxter;darcy	2		ok	
FANCB	ENSG00000181544	X	14690388	14873255	14861529	14891191	-1	protein_coding	182867	darcy	1		ok	
FANCC	ENSG00000158169	9	95099054	95426796	97861336	98079991	-1	protein_coding	327742	baxter;darcy	2		ok	
FANCD2	ENSG00000144554	3	10026370	10101937	10068098	10143614	1	protein_coding	75567	baxter;darcy	2		ok	
FANCE	ENSG00000112039	6	35452315	35467106	35420138	35434880	1	protein_coding	14791	baxter;darcy	2		ok	
FANCI	ENSG00000140525	15	89243854	89318091	89787180	89860492	1	protein_coding	74237	baxter;darcy	2		ok	
FAP	ENSG00000078098	2	162170684	162245151	163027194	163101661	-1	protein_coding	74467	darcy	1		ok	
FARP2	ENSG00000006607	2	241356244	241494847	242295658	242434256	1	protein_coding	138603	darcy	1		ok	
FAS	ENSG00000026103	10	88953813	89029605	90750414	90775542	1	protein_coding	75792	network	1	yes	ok	
FASLG	ENSG00000117560	1	172658990	172666891	172628154	172636014	1	protein_coding	7901	darcy;network	2	yes	ok	
FBXO5	ENSG00000112029	6	152970519	152983599	153291664	153304714	-1	protein_coding	13080	baxter	1		ok	
FBXW4	ENSG00000107829	10	101610663	101695298	103370423	103455052	-1	protein_coding	84635	baxter	1		ok	
FGFR3	ENSG00000068078	4	1793286	1808873	1795034	1810599	1	protein_coding	15587	baxter;darcy	2		ok	
FHL1	ENSG00000022267	X	136146702	136211359	135229559	135293518	1	protein_coding	64657	baxter	1		ok	
FIG4	ENSG00000112367	6	109690609	109878098	110012499	110146631	1	protein_coding	187489	bajpai;baxter;darcy	3		ok	
FIP1L1	ENSG00000145216	4	53377562	53464382	54243810	55161439	1	protein_coding	86820	bajpai	1		ok	
FLI1	ENSG00000151702	11	128686535	128813267	128556430	128683162	1	protein_coding	126732	darcy	1		ok	
FLNA	ENSG00000196924	X	154348524	154374643	153576892	153603006	-1	protein_coding	26119	baxter;darcy	2		ok	
FMR1	ENSG00000102081	X	147911858	147951125	146993469	147032645	1	protein_coding	39267	baxter;darcy	2		ok	
FOS	ENSG00000170345	14	75278821	75283190	75745477	75748933	1	protein_coding	4369	network	1	yes	ok	
FOXD3	ENSG00000187140	1	63322567	63325128	63788730	63790797	1	protein_coding	2561	baxter	1		ok	
FOXM1	ENSG00000111206	12	2857676	2877197	2966847	2986206	-1	protein_coding	19521	baxter	1		ok	
FOXN1	ENSG00000109101	17	28506243	28538900	26833261	26865914	1	protein_coding	32657	baxter	1		ok	
FOXP1	ENSG00000114861	3	70954693	71584009	71003844	71633140	-1	protein_coding	629316	darcy	1		ok	
FRAS1	ENSG00000138759	4	78056961	78544458	78978724	79465423	1	protein_coding	487497	darcy	1		ok	
FREM2	ENSG00000150893	13	38687070	38887131	39261266	39460074	1	protein_coding	200061	baxter;darcy	2		ok	
FRYL	ENSG00000075539	4	48497357	48780322	48499378	48782339	-1	protein_coding	282965	bajpai	1		ok	
FSCN1	ENSG00000075618	7	5592806	5606656	5632439	5646286	1	protein_coding	13850	baxter	1		ok	
FTO	ENSG00000140718	16	53701692	54158512	53737875	54155853	1	protein_coding	456820	baxter	1		ok	
FZD3	ENSG00000104290	8	28493991	28574267	28351729	28431775	1	protein_coding	80276	network	1	yes	ok	
FZD4	ENSG00000174804	11	86945679	86955469	86656721	86666433	-1	protein_coding	9790	baxter	1		ok	
GAB1	ENSG00000109458	4	143336150	143474565	144257915	144395721	1	protein_coding	138415	network	1	yes	ok	
GADD45A	ENSG00000116717	1	67685048	67691165	68150744	68154021	1	protein_coding	6117	network	1	yes	ok	
GAGE2A	ENSG00000189064	X	49589476	49596834	49354132	49361430	1	protein_coding	7358	darcy	1		ok	
GANAB	ENSG00000089597	11	62624821	62646726	62392298	62414104	-1	protein_coding	21905	bajpai	1		ok	
GART	ENSG00000159131	21	33498517	33543524	34876238	34915797	-1	protein_coding	45007	baxter	1		ok	
GAS7	ENSG00000007237	17	9910606	10198912	9813926	10101868	-1	protein_coding	288306	baxter	1		ok	
GATA3	ENSG00000107485	10	8045212	8075825	8095567	8117161	1	protein_coding	30613	baxter	1		ok	
GBF1	ENSG00000107862	10	102245371	102382899	104005289	104142656	1	protein_coding	137528	baxter	1		ok	
GDF6	ENSG00000156466	8	96142333	96160813	97154562	97173020	-1	protein_coding	18480	baxter	1		ok	
GDPD3	ENSG00000102886	16	30104810	30114034	30116131	30125177	-1	protein_coding	9224	baxter	1		ok	
GFPT1	ENSG00000198380	2	69319616	69387313	69546905	69614382	-1	protein_coding	67697	baxter	1		ok	
GGT1	ENSG00000100031	22	24588696	24629011	24979718	25024972	1	protein_coding	40315	baxter	1		ok	
GJA4	ENSG00000187513	1	34792992	34795756	35258599	35261348	1	protein_coding	2764	baxter	1		ok	
GJA5	ENSG00000265107	1	147755804	147773390	147228332	147245484	-1	protein_coding	17586	baxter	1		ok	
GLI3	ENSG00000106571	7	41929597	42264265	42000548	42277469	-1	protein_coding	334668	baxter	1		ok	
GLTSCR1	ENSG00000063169	19			48111453	48206533	1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
GMPPB	ENSG00000173540	3	49716844	49723988	49754277	49761384	-1	protein_coding	7144	baxter	1		ok	
GMPS	ENSG00000163655	3	155870467	155944020	155588325	155661815	1	protein_coding	73553	baxter	1		ok	
GNA11	ENSG00000088256	19	3094320	3124001	3094408	3124002	1	protein_coding	29681	baxter	1		ok	
GNAI3	ENSG00000065135	1	109548582	109600195	110091233	110136975	1	protein_coding	51613	baxter	1		ok	
GNAQ	ENSG00000156052	9	77716097	78032500	80331003	80646374	-1	protein_coding	316403	baxter	1		ok	
GNAS	ENSG00000087460	20	58839669	58911192	57414773	57486247	1	protein_coding	71523	baxter;darcy	2		ok	
GNAT2	ENSG00000134183	1	109601407	109619929	110145889	110155679	-1	protein_coding	18522	baxter	1		ok	
GNPTG	ENSG00000090581	16	1351924	1365737	1401924	1413352	1	protein_coding	13813	darcy	1		ok	
GOLGA8M	ENSG00000261480	15	28719377	28738431	28947100	28983530	-1	lncRNA	19054	bajpai	1		ok	
GPATCH3	ENSG00000198746	1	26890488	26900478	27216979	27226957	-1	protein_coding	9990	baxter	1		ok	
GPC3	ENSG00000147257	X	133535745	133987100	132669773	133119922	-1	protein_coding	451355	baxter	1		ok	
GPER1	ENSG00000164850	7	1082208	1094516	1121844	1133451	1	protein_coding	12308	baxter	1		ok	
GPHN	ENSG00000171723	14	66507407	67181806	66974125	67648520	1	protein_coding	674399	darcy	1		ok	
GPNMB	ENSG00000136235	7	23235967	23275111	23275586	23314727	1	protein_coding	39144	baxter;darcy	2		ok	
GPR143	ENSG00000101850	X	9724039	9786297	9693386	9754337	-1	protein_coding	62258	bajpai;baxter;darcy	3		ok	
GPR161	ENSG00000143147	1	168079542	168137685	168053997	168106821	-1	protein_coding	58143	baxter	1		ok	
GPR89A / GPR89B										baxter	1		unresolved	not on a primary assembly / symbol unresolved
GPS2	ENSG00000132522	17	7309470	7315564	7214643	7218883	-1	protein_coding	6094	bajpai	1		ok	
GRB2	ENSG00000177885	17	75318072	75405720	73314157	73401790	-1	protein_coding	87648	network	1	yes	ok	
GRIP1	ENSG00000155974	12	66347431	67069162	66741211	67197966	-1	protein_coding	721731	darcy	1		ok	
GRK3	ENSG00000100077	22	25564432	25729294			1	protein_coding	164862	baxter	1		hg38_only	not on a primary assembly / symbol unresolved
GRM1	ENSG00000152822	6	146027646	146437601	146348782	146758734	1	protein_coding	409955	baxter	1		ok	
GSK3B	ENSG00000082701	3	119821321	120095712	119540170	119813264	-1	protein_coding	274391	network	1	yes	ok	
GTF2IRD1	ENSG00000006704	7	74452463	74602619	73868120	74016931	1	protein_coding	150156	baxter	1		ok	
GTPBP3	ENSG00000130299	19	17334920	17342735	17445729	17453544	1	protein_coding	7815	baxter	1		ok	
GUCY1A2	ENSG00000152402	11	106674019	107018538	106544738	106889250	-1	protein_coding	344519	network	1	yes	ok	
GZMB	ENSG00000100453	14	24630954	24634277	25100160	25103473	-1	protein_coding	3323	darcy	1		ok	
H3F3A	ENSG00000163041	1			226249552	226259702	1	protein_coding		baxter	1		hg19_only	not on a primary assembly / symbol unresolved
HAUS3	ENSG00000214367	4	2227462	2242190	2229191	2243891	-1	protein_coding	14728	bajpai	1		ok	
HDAC1	ENSG00000116478	1	32291919	32333635	32757687	32799236	1	protein_coding	41716	baxter	1		ok	
HDAC2	ENSG00000196591	6	113923388	114011308	114254192	114332472	-1	protein_coding	87920	baxter	1		ok	
HDAC3	ENSG00000171720	5	141620766	141637304	141000443	141016437	-1	protein_coding	16538	bajpai	1		ok	
HDAC4	ENSG00000068024	2	239048168	239401661	239969864	240323348	-1	protein_coding	353493	bajpai	1		ok	
HELLS	ENSG00000119969	10	94545329	94613905	96305547	96373662	1	protein_coding	68576	baxter	1		ok	
HERC2	ENSG00000128731	15	28111040	28322179	28356186	28567298	-1	protein_coding	211139	darcy	1		ok	
HES1	ENSG00000114315	3	194136139	194138732	193853934	193856521	1	protein_coding	2593	baxter	1		ok	
HEXIM1	ENSG00000186834	17	45148475	45152099	43224684	43229468	1	protein_coding	3624	baxter	1		ok	
HGD	ENSG00000113924	3	120628165	120682398	120347020	120401418	-1	protein_coding	54233	darcy	1		ok	
HGF	ENSG00000019991	7	81699010	81770438	81328322	81399754	-1	protein_coding	71428	baxter;network	2	yes	ok	
HIF1A	ENSG00000100644	14	61695357	61748529	62162231	62214976	1	protein_coding	53172	network	1	yes	ok	
HIPK2	ENSG00000064393	7	139561570	139778016	139246316	139477577	-1	protein_coding	216446	baxter	1		ok	
HIRIP3	ENSG00000149929	16	29992314	29996126	30003645	30007757	-1	protein_coding	3812	baxter	1		ok	
HLA-B	ENSG00000234745	6	31353195	31367067	31321649	31324965	-1	protein_coding	13872	darcy	1		ok	
HLA-DQA1	ENSG00000196735	6	32628179	32659533	32595956	32614839	1	protein_coding	31354	darcy	1		ok	
HLA-DQB1	ENSG00000179344	6	32640622	32668383	32627244	32636160	-1	protein_coding	27761	darcy	1		ok	
HLA-DRA	ENSG00000204287	6	32439870	32445181	32407619	32412823	1	protein_coding	5311	darcy	1		ok	
HLA-DRB1	ENSG00000196126	6	32577902	32589848	32546546	32557625	-1	protein_coding	11946	darcy	1		ok	
HNRNPA2B1	ENSG00000122566	7	26169261	26201529	26229547	26241149	-1	protein_coding	32268	bajpai	1		ok	
HNRNPR	ENSG00000125944	1	23303771	23344658	23630264	23670829	-1	protein_coding	40887	bajpai	1		ok	
HOXA13	ENSG00000106031	7	27193503	27200091	27233122	27239725	-1	protein_coding	6588	baxter	1		ok	
HOXB7	ENSG00000260027	17	48607222	48633572	46684594	46710934	-1	protein_coding	26350	baxter	1		ok	
HPS1	ENSG00000107521	10	98410939	98446966	100175955	100206684	-1	protein_coding	36027	bajpai;baxter;darcy	3		ok	
HPS3	ENSG00000163755	3	149129602	149173732	148847371	148891519	1	protein_coding	44130	bajpai;baxter;darcy	3		ok	
HPS4	ENSG00000100099	22	26442598	26483931	26839389	26879803	-1	protein_coding	41333	bajpai;baxter;darcy	3		ok	
HPS5	ENSG00000110756	11	18278668	18322523	18300223	18343745	-1	protein_coding	43855	bajpai;baxter;darcy	3		ok	
HPS6	ENSG00000166189	10	102065349	102068036	103825147	103827792	1	protein_coding	2687	bajpai;baxter;darcy	3		ok	
HRAS	ENSG00000174775	11	532242	537343	532242	537287	-1	protein_coding	5101	baxter;darcy;network	3	yes	ok	
HSD3B1	ENSG00000203857	1	119493057	119529426	120049821	120057681	1	protein_coding	36369	baxter	1		ok	
HSP90AA1	ENSG00000080824	14	102080738	102139773	102547075	102606036	-1	protein_coding	59035	network	1	yes	ok	
HSP90B1	ENSG00000166598	12	103930107	103955906	104323885	104347423	1	protein_coding	25799	baxter	1		ok	
HSPA13	ENSG00000155304	21	14368767	14383484	15743436	15755805	-1	protein_coding	14717	bajpai	1		ok	
HSPA5	ENSG00000044574	9	125234740	125261715	127997132	128003609	-1	protein_coding	26975	bajpai	1		ok	
HTRA1	ENSG00000166033	10	122458551	122516001	124221041	124274424	1	protein_coding	57450	baxter	1		ok	
HTT	ENSG00000197386	4	3041363	3243957	3076408	3245676	1	protein_coding	202594	baxter	1		ok	
HUNK	ENSG00000142149	21	31872805	32044633	33245628	33416946	1	protein_coding	171828	darcy	1		ok	
ICAM1	ENSG00000090339	19	10271093	10286617	10381511	10397291	1	protein_coding	15524	network	1	yes	ok	
IDS	ENSG00000010404	X	149476988	149521096	148558521	148615470	-1	protein_coding	44108	baxter;darcy	2		ok	
IDUA	ENSG00000127415	4	986997	1008344	980785	998316	1	protein_coding	21347	baxter;darcy	2		ok	
IER3IP1	ENSG00000134049	18	47152834	47176381	44661027	44702652	-1	protein_coding	23547	baxter	1		ok	
IFT122	ENSG00000163913	3	129429607	129520510	129158968	129239198	1	protein_coding	90903	baxter	1		ok	
IFT27	ENSG00000100360	22	36741346	36776309	37154246	37172300	-1	protein_coding	34963	baxter	1		ok	
IFTAP	ENSG00000166352	11	36594369	36675695			1	protein_coding	81326	darcy	1		hg38_only	not on a primary assembly / symbol unresolved
IGFBP7	ENSG00000163453	4	56986181	57110921	57896939	57976551	-1	protein_coding	124740	baxter	1		ok	
IGSF11	ENSG00000144847	3	118900557	119146068	118619404	118864915	-1	protein_coding	245511	baxter	1		ok	
IKBKB	ENSG00000104365	8	42271302	42332460	42128820	42189973	1	protein_coding	61158	baxter	1		ok	
IKBKG	ENSG00000269335	X	154541179	154568543	153769414	153796782	1	protein_coding	27364	baxter;darcy	2		ok	
IKZF4	ENSG00000123411	12	56007392	56038435	56401443	56432219	1	protein_coding	31043	darcy	1		ok	
IL10	ENSG00000136634	1	206767602	206774541	206940947	206945839	-1	protein_coding	6939	network	1	yes	ok	
IL12A	ENSG00000168811	3	159988830	159996019	159706537	159713806	1	protein_coding	7189	network	1	yes	ok	
IL17A	ENSG00000112115	6	52186375	52190638	52051185	52055436	1	protein_coding	4263	baxter;darcy	2		ok	
IL1A	ENSG00000115008	2	112773916	112784500	113531492	113542167	-1	protein_coding	10584	network	1	yes	ok	
IL1R1	ENSG00000115594	2	102063933	102179874	102681004	102796334	1	protein_coding	115941	network	1	yes	ok	
IL1RAPL1	ENSG00000169306	X	28587123	29958600	28605516	29974840	1	protein_coding	1371477	darcy	1		ok	
IL23R	ENSG00000162594	1	67138907	67265873	67632083	67725662	1	protein_coding	126966	darcy	1		ok	
IL2RA	ENSG00000134460	10	6010689	6062370	6052652	6104288	-1	protein_coding	51681	darcy	1		ok	
IL6	ENSG00000136244	7	22725884	22732002	22765503	22771621	1	protein_coding	6118	network	1	yes	ok	
IL6R	ENSG00000160712	1	154405141	154469450	154377669	154441926	1	protein_coding	64309	network	1	yes	ok	
ILK	ENSG00000166333	11	6603708	6610874	6624961	6632102	1	protein_coding	7166	baxter	1		ok	
IMPDH1	ENSG00000106348	7	128392277	128410009	128032331	128050306	-1	protein_coding	17732	baxter	1		ok	
INO80E	ENSG00000169592	16	29994983	30005794	30006615	30017114	1	protein_coding	10811	baxter	1		ok	
INPP5B	ENSG00000204084	1	37860696	37947241	38326369	38412729	-1	protein_coding	86545	baxter	1		ok	
INPP5E	ENSG00000148384	9	136428615	136439882	139323071	139334274	-1	protein_coding	11267	baxter	1		ok	
INTS6	ENSG00000102786	13	51354077	51454264	51928213	52028400	-1	protein_coding	100187	bajpai	1		ok	
INTS8	ENSG00000164941	8	94813311	94881746	95825539	95893974	1	protein_coding	68435	bajpai	1		ok	
IPPK	ENSG00000127080	9	92612984	92670278	95375466	95432547	-1	protein_coding	57294	baxter	1		ok	
IRAK1	ENSG00000184216	X	154010501	154020650	153275951	153285431	-1	protein_coding	10149	network	1	yes	ok	
IRAK4	ENSG00000198001	12	43758938	43798307	44152747	44183346	1	protein_coding	39369	network	1	yes	ok	
IRF2BP2	ENSG00000168264	1	234602295	234610189	234740015	234745271	-1	protein_coding	7894	bajpai	1		ok	
IRF3	ENSG00000126456	19	49659569	49665864	50162826	50169132	-1	protein_coding	6295	darcy	1		ok	
IRF4	ENSG00000137265	6	391739	411443	391739	411447	1	protein_coding	19704	baxter;darcy	2		ok	
IRX1	ENSG00000170549	5	3595832	3601408	3596168	3601517	1	protein_coding	5576	baxter	1		ok	
IRX2	ENSG00000170561	5	2741794	2751694	2745959	2752969	-1	protein_coding	9900	baxter	1		ok	
ITGA3	ENSG00000005884	17	50055968	50090933	48133332	48167845	1	protein_coding	34965	baxter	1		ok	
ITGB1	ENSG00000150093	10	32750310	33005792	33189247	33294720	-1	protein_coding	255482	baxter	1		ok	
IVL	ENSG00000163207	1	152908539	152911886	152881021	152884362	1	protein_coding	3347	network	1	yes	ok	
JAK1	ENSG00000162434	1	64833223	65067754	65298912	65432187	-1	protein_coding	234531	network	1	yes	ok	
JAM3	ENSG00000166086	11	134068998	134152071	133938820	134021896	1	protein_coding	83073	baxter	1		ok	
JUN	ENSG00000177606	1	58776845	58784048	59246465	59249785	-1	protein_coding	7203	network	1	yes	ok	
KBTBD8	ENSG00000163376	3	66998307	67011210	67048727	67061634	1	protein_coding	12903	baxter	1		ok	
KCNJ13	ENSG00000115474	2	232765802	232776566	233631174	233641278	-1	protein_coding	10764	baxter	1		ok	
KCNK12	ENSG00000184261	2	47509290	47570993	47743720	47798078	-1	protein_coding	61703	darcy	1		ok	
KCTD15	ENSG00000153885	19	33795933	33815763	34286838	34306668	1	protein_coding	19830	baxter	1		ok	
KHDRBS1	ENSG00000121774	1	32013687	32060850	32479430	32526451	1	protein_coding	47163	bajpai	1		ok	
KIAA0196	ENSG00000164961	8			126036502	126104082	-1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
KIAA1033	ENSG00000136051	12			105501102	105562912	1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
KIF13A	ENSG00000137177	6	17758198	17988274	17759414	17987854	-1	protein_coding	230076	baxter	1		ok	
KIF3A	ENSG00000131437	5	132688806	132737638	132028320	132073330	-1	protein_coding	48832	baxter	1		ok	
KIF5A	ENSG00000155980	12	57546026	57586633	57943781	57980415	1	protein_coding	40607	baxter	1		ok	
KIRREL	ENSG00000183853	1			157963063	158070052	1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
KIT	ENSG00000157404	4	54657267	54740783	55524085	55606881	1	protein_coding	83516	baxter;darcy;network	3	yes	ok	
KITLG	ENSG00000049130	12	88492789	88580851	88886570	88974628	-1	protein_coding	88062	baxter;darcy;network	3	yes	ok	
KLF6	ENSG00000067082	10	3775996	3785281	3818188	3827473	-1	protein_coding	9285	bajpai	1		ok	
KRAS	ENSG00000133703	12	25205246	25326473	25357723	25403870	-1	protein_coding	121227	baxter	1		ok	
KRT1	ENSG00000167768	12	52674736	52680407	53068520	53074191	-1	protein_coding	5671	baxter	1		ok	
KRT14	ENSG00000186847	17	41582279	41586896	39738531	39743173	-1	protein_coding	4617	baxter;darcy	2		ok	
KRT17	ENSG00000128422	17	41619437	41624842	39775689	39781094	-1	protein_coding	5405	baxter	1		ok	
KRT2	ENSG00000172867	12	52644558	52652211	53038342	53045948	-1	protein_coding	7653	baxter	1		ok	
KRT27	ENSG00000171446	17	40776808	40782550	38933060	38938786	-1	protein_coding	5742	baxter	1		ok	
KRT4	ENSG00000170477	12	52806549	52814116	53200333	53208335	-1	protein_coding	7567	baxter	1		ok	
KRT5	ENSG00000186081	12	52514575	52520530	52908359	52914471	-1	protein_coding	5955	baxter;darcy	2		ok	
KRT75	ENSG00000170454	12	52424070	52434380	52817854	52828309	-1	protein_coding	10310	baxter	1		ok	
KRT76	ENSG00000185069	12	52768155	52777345	53161939	53171129	-1	protein_coding	9190	baxter	1		ok	
KRT9	ENSG00000171403	17	41565836	41572059	39722096	39728310	-1	protein_coding	6223	baxter	1		ok	
LARP7	ENSG00000174720	4	112636990	112657861	113558120	113578748	1	protein_coding	20871	baxter	1		ok	
LEF1	ENSG00000138795	4	108045592	108169198	108968701	109090112	-1	protein_coding	123606	baxter;network	2	yes	ok	
LEO1	ENSG00000166477	15	51937788	51971922	52230222	52264003	-1	protein_coding	34134	baxter	1		ok	
LEP	ENSG00000174697	7	128241222	128257629	127881337	127897681	1	protein_coding	16407	baxter	1		ok	
LHX2	ENSG00000106689	9	124001670	124033301	126763949	126795580	1	protein_coding	31631	baxter	1		ok	
LIPH	ENSG00000163898	3	185506262	185552617	185224050	185270401	-1	protein_coding	46355	baxter	1		ok	
LMLN	ENSG00000185621	3	197960200	198043720	197687071	197770591	1	protein_coding	83520	baxter	1		ok	
LMNA	ENSG00000160789	1	156082572	156140085	156052364	156109880	1	protein_coding	57513	baxter	1		ok	
LMX1A	ENSG00000162761	1	165201867	165356721	165171104	165325952	-1	protein_coding	154854	baxter	1		ok	
LOX	ENSG00000113083	5	122063151	122078634	121398890	121413980	-1	protein_coding	15483	baxter	1		ok	
LPP	ENSG00000145012	3	188152974	188890671	187871072	188608460	1	protein_coding	737697	darcy	1		ok	
LRMDA	ENSG00000148655	10	75431446	76560168			1	protein_coding	1128722	baxter;darcy	2		hg38_only	not on a primary assembly / symbol unresolved
LRSAM1	ENSG00000148356	9	127451469	127503503	130213765	130265780	1	protein_coding	52034	baxter	1		ok	
LTK	ENSG00000062524	15	41503634	41513887	41795836	41806085	-1	protein_coding	10253	baxter	1		ok	
LVRN	ENSG00000172901	5	115962454	116027619			1	protein_coding	65165	baxter	1		hg38_only	not on a primary assembly / symbol unresolved
LYST	ENSG00000143669	1	235661041	235883724	235824341	236046940	-1	protein_coding	222683	bajpai;baxter;darcy	3		ok	
LZIC	ENSG00000162441	1	9922113	9943407	9982173	10003465	-1	protein_coding	21294	bajpai	1		ok	
MAFB	ENSG00000204103	20	40685848	40689236	39314488	39317880	-1	protein_coding	3388	baxter	1		ok	
MAGOH	ENSG00000162385	1	53226638	53238626	53692564	53704282	-1	protein_coding	11988	baxter	1		ok	
MAP1LC3A	ENSG00000101460	20	34546838	34560357	33134658	33148149	1	protein_coding	13519	baxter	1		ok	
MAP2K1	ENSG00000169032	15	66386816	66491656	66679155	66784650	1	protein_coding	104840	baxter;darcy;network	3	yes	ok	
MAP2K2	ENSG00000126934	19	4090316	4124238	4090319	4124126	-1	protein_coding	33922	baxter;network	2	yes	ok	
MAP2K3	ENSG00000034152	17	21284672	21315240	21187984	21218552	1	protein_coding	30568	network	1	yes	ok	
MAP2K4	ENSG00000065559	17	12020808	12143830	11924141	12047147	1	protein_coding	123022	network	1	yes	ok	
